Source,Target,Subgraph
11,1,0
11,3,0
11,30,0
11,43,0
11,48,0
1,15,1
1,16,1
1,41,1
1,43,0
1,48,0
15,4,0
15,17,1
15,25,1
15,34,1
15,35,0
15,38,1
15,39,1
15,41,1
15,44,1
15,51,1
15,53,1
16,19,1
16,25,1
16,41,1
16,46,1
16,56,0
16,60,0
41,8,0
41,34,1
41,37,0
41,38,1
41,53,1
43,3,0
43,31,0
43,48,0
43,51,0
48,21,0
48,29,0
48,31,0
18,2,0
18,7,0
18,10,0
18,14,0
18,23,0
18,26,0
18,28,0
18,32,0
18,58,0
2,20,0
2,27,0
2,28,0
2,29,0
2,37,0
2,42,0
2,55,0
20,8,0
20,31,0
20,55,0
27,26,0
27,28,0
28,8,0
28,26,0
29,9,0
29,21,0
29,31,0
37,21,0
37,24,0
37,38,0
37,40,0
37,60,0
42,10,0
42,14,0
42,55,0
42,58,0
55,7,0
55,8,0
55,14,0
55,58,0
3,45,0
3,62,0
45,21,0
45,35,0
45,39,0
62,38,0
62,54,0
9,4,0
9,21,0
9,38,0
9,46,0
9,60,0
4,60,0
60,46,0
52,5,0
52,12,0
52,19,1
52,22,1
52,24,0
52,25,1
52,30,1
52,46,1
52,51,1
52,56,0
10,6,0
10,7,0
10,14,0
10,33,0
10,58,0
6,14,0
6,57,0
6,58,0
14,7,0
14,33,0
14,58,0
57,7,0
58,7,0
58,40,0
58,49,0
8,31,0
21,17,1
21,19,1
21,39,1
21,51,1
38,17,1
38,22,1
38,34,1
38,35,0
38,44,1
38,46,1
46,19,1
46,22,1
46,24,0
46,25,1
46,30,1
46,51,1
33,61,0
30,19,1
30,22,1
30,25,1
30,36,0
30,44,1
30,53,1
34,13,0
34,17,1
34,22,1
34,35,0
34,39,1
34,44,1
34,51,1
17,39,1
17,51,1
25,19,1
35,50,0
39,44,1
39,53,1
39,59,0
44,47,0
44,54,0
19,22,1
50,47,0
